col,d_types
UNITID,int64
OPEID,str
OPEID6,str
SCH_DEG,float64
MAIN,float64
NUMBRANCH,float64
PREDDEG,float64
HIGHDEG,float64
CONTROL,float64
REGION,float64
LOCALE,float64
LATITUDE,float64
LONGITUDE,float64
CCBASIC,float64
HBCU,float64
PBI,float64
ANNHI,float64
TRIBAL,float64
AANAPII,float64
HSI,float64
NANTI,float64
MENONLY,float64
WOMENONLY,float64
RELAFFIL,float64
ADM_RATE,float64
PCIP01,float64
PCIP03,float64
PCIP04,float64
PCIP05,float64
PCIP09,float64
PCIP10,float64
PCIP11,float64
PCIP12,float64
PCIP13,float64
PCIP14,float64
PCIP15,float64
PCIP16,float64
PCIP19,float64
PCIP22,float64
PCIP23,float64
PCIP24,float64
PCIP25,float64
PCIP26,float64
PCIP27,float64
PCIP29,float64
PCIP30,float64
PCIP31,float64
PCIP38,float64
PCIP39,float64
PCIP40,float64
PCIP41,float64
PCIP42,float64
PCIP43,float64
PCIP44,float64
PCIP45,float64
PCIP46,float64
PCIP47,float64
PCIP48,float64
PCIP49,float64
PCIP50,float64
PCIP51,float64
PCIP52,float64
PCIP54,float64
CIP01CERT1,float64
CIP01CERT2,float64
CIP01ASSOC,float64
CIP01CERT4,float64
CIP01BACHL,float64
CIP03CERT1,float64
CIP03CERT2,float64
CIP03ASSOC,float64
CIP03CERT4,float64
CIP03BACHL,float64
CIP04CERT1,float64
CIP04CERT2,float64
CIP04ASSOC,float64
CIP04CERT4,float64
CIP04BACHL,float64
CIP05CERT1,float64
CIP05CERT2,float64
CIP05ASSOC,float64
CIP05CERT4,float64
CIP05BACHL,float64
CIP09CERT1,float64
CIP09CERT2,float64
CIP09ASSOC,float64
CIP09CERT4,float64
CIP09BACHL,float64
CIP10CERT1,float64
CIP10CERT2,float64
CIP10ASSOC,float64
CIP10CERT4,float64
CIP10BACHL,float64
CIP11CERT1,float64
CIP11CERT2,float64
CIP11ASSOC,float64
CIP11CERT4,float64
CIP11BACHL,float64
CIP12CERT1,float64
CIP12CERT2,float64
CIP12ASSOC,float64
CIP12CERT4,float64
CIP12BACHL,float64
CIP13CERT1,float64
CIP13CERT2,float64
CIP13ASSOC,float64
CIP13CERT4,float64
CIP13BACHL,float64
CIP14CERT1,float64
CIP14CERT2,float64
CIP14ASSOC,float64
CIP14CERT4,float64
CIP14BACHL,float64
CIP15CERT1,float64
CIP15CERT2,float64
CIP15ASSOC,float64
CIP15CERT4,float64
CIP15BACHL,float64
CIP16CERT1,float64
CIP16CERT2,float64
CIP16ASSOC,float64
CIP16CERT4,float64
CIP16BACHL,float64
CIP19CERT1,float64
CIP19CERT2,float64
CIP19ASSOC,float64
CIP19CERT4,float64
CIP19BACHL,float64
CIP22CERT1,float64
CIP22CERT2,float64
CIP22ASSOC,float64
CIP22CERT4,float64
CIP22BACHL,float64
CIP23CERT1,float64
CIP23CERT2,float64
CIP23ASSOC,float64
CIP23CERT4,float64
CIP23BACHL,float64
CIP24CERT1,float64
CIP24CERT2,float64
CIP24ASSOC,float64
CIP24CERT4,float64
CIP24BACHL,float64
CIP25CERT1,float64
CIP25CERT2,float64
CIP25ASSOC,float64
CIP25CERT4,float64
CIP25BACHL,float64
CIP26CERT1,float64
CIP26CERT2,float64
CIP26ASSOC,float64
CIP26CERT4,float64
CIP26BACHL,float64
CIP27CERT1,float64
CIP27CERT2,float64
CIP27ASSOC,float64
CIP27CERT4,float64
CIP27BACHL,float64
CIP29CERT1,float64
CIP29CERT2,float64
CIP29ASSOC,float64
CIP29CERT4,float64
CIP29BACHL,float64
CIP30CERT1,float64
CIP30CERT2,float64
CIP30ASSOC,float64
CIP30CERT4,float64
CIP30BACHL,float64
CIP31CERT1,float64
CIP31CERT2,float64
CIP31ASSOC,float64
CIP31CERT4,float64
CIP31BACHL,float64
CIP38CERT1,float64
CIP38CERT2,float64
CIP38ASSOC,float64
CIP38CERT4,float64
CIP38BACHL,float64
CIP39CERT1,float64
CIP39CERT2,float64
CIP39ASSOC,float64
CIP39CERT4,float64
CIP39BACHL,float64
CIP40CERT1,float64
CIP40CERT2,float64
CIP40ASSOC,float64
CIP40CERT4,float64
CIP40BACHL,float64
CIP41CERT1,float64
CIP41CERT2,float64
CIP41ASSOC,float64
CIP41CERT4,float64
CIP41BACHL,float64
CIP42CERT1,float64
CIP42CERT2,float64
CIP42ASSOC,float64
CIP42CERT4,float64
CIP42BACHL,float64
CIP43CERT1,float64
CIP43CERT2,float64
CIP43ASSOC,float64
CIP43CERT4,float64
CIP43BACHL,float64
CIP44CERT1,float64
CIP44CERT2,float64
CIP44ASSOC,float64
CIP44CERT4,float64
CIP44BACHL,float64
CIP45CERT1,float64
CIP45CERT2,float64
CIP45ASSOC,float64
CIP45CERT4,float64
CIP45BACHL,float64
CIP46CERT1,float64
CIP46CERT2,float64
CIP46ASSOC,float64
CIP46CERT4,float64
CIP46BACHL,float64
CIP47CERT1,float64
CIP47CERT2,float64
CIP47ASSOC,float64
CIP47CERT4,float64
CIP47BACHL,float64
CIP48CERT1,float64
CIP48CERT2,float64
CIP48ASSOC,float64
CIP48CERT4,float64
CIP48BACHL,float64
CIP49CERT1,float64
CIP49CERT2,float64
CIP49ASSOC,float64
CIP49CERT4,float64
CIP49BACHL,float64
CIP50CERT1,float64
CIP50CERT2,float64
